CustomerId,Surname,Credit_Score,Geography,Gender,Age,Tenure,Balance,Number_Of_Products,Has_Credit_Card,Is_Active_Member,Estimated_Salary,Customer_Status,Age_Group,Credit_Score_Band,Balance Category
15634602,Hargrave,619,France,Female,42,2,0,1,Yes,Yes,101348.88,Exited,Adult,Fair,Zero Balance
15647311,Hill,608,Spain,Female,41,1,83807.86,1,No,Yes,112542.58,Retained,Adult,Fair,Medium Balance
15619304,Onio,502,France,Female,42,8,159660.8,3,Yes,No,113931.57,Exited,Adult,Poor,High balance
15701354,Boni,699,France,Female,39,1,0,2,No,No,93826.63,Retained,Adult,Good,Zero Balance
15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,Yes,Yes,79084.1,Retained,Adult,Excellent,High balance
15574012,Chu,645,Spain,Male,44,8,113755.78,2,Yes,No,149756.71,Exited,Adult,Fair,High balance
15592531,Bartlett,822,France,Male,50,7,0,2,Yes,Yes,10062.8,Retained,Middle-Aged,Excellent,Zero Balance
15656148,Obinna,376,Germany,Female,29,4,115046.74,4,Yes,No,119346.88,Exited,Young Adult,Poor,High balance
15792365,He,501,France,Male,44,4,142051.07,2,No,Yes,74940.5,Retained,Adult,Poor,High balance
15592389,H?,684,France,Male,27,2,134603.88,1,Yes,Yes,71725.73,Retained,Young Adult,Good,High balance
15767821,Bearce,528,France,Male,31,6,102016.72,2,No,No,80181.12,Retained,Adult,Poor,High balance
15737173,Andrews,497,Spain,Male,24,3,0,2,Yes,No,76390.01,Retained,Young Adult,Poor,Zero Balance
15632264,Kay,476,France,Female,34,10,0,2,Yes,No,26260.98,Retained,Adult,Poor,Zero Balance
15691483,Chin,549,France,Female,25,5,0,2,No,No,190857.79,Retained,Young Adult,Poor,Zero Balance
15600882,Scott,635,Spain,Female,35,7,0,2,Yes,Yes,65951.65,Retained,Adult,Fair,Zero Balance
15643966,Goforth,616,Germany,Male,45,3,143129.41,2,No,Yes,64327.26,Retained,Adult,Fair,High balance
15737452,Romeo,653,Germany,Male,58,1,132602.88,1,Yes,No,5097.67,Exited,Middle-Aged,Fair,High balance
15788218,Henderson,549,Spain,Female,24,9,0,2,Yes,Yes,14406.41,Retained,Young Adult,Poor,Zero Balance
15661507,Muldrow,587,Spain,Male,45,6,0,1,No,No,158684.81,Retained,Adult,Fair,Zero Balance
15568982,Hao,726,France,Female,24,6,0,2,Yes,Yes,54724.03,Retained,Young Adult,Good,Zero Balance
15577657,McDonald,732,France,Male,41,8,0,2,Yes,Yes,170886.17,Retained,Adult,Good,Zero Balance
15597945,Dellucci,636,Spain,Female,32,8,0,2,Yes,No,138555.46,Retained,Adult,Fair,Zero Balance
15699309,Gerasimov,510,Spain,Female,38,4,0,1,Yes,No,118913.53,Exited,Adult,Poor,Zero Balance
15725737,Mosman,669,France,Male,46,3,0,2,No,Yes,8487.75,Retained,Middle-Aged,Fair,Zero Balance
15625047,Yen,846,France,Female,38,5,0,1,Yes,Yes,187616.16,Retained,Adult,Excellent,Zero Balance
15738191,Maclean,577,France,Male,25,3,0,2,No,Yes,124508.29,Retained,Young Adult,Poor,Zero Balance
15736816,Young,756,Germany,Male,36,2,136815.64,1,Yes,Yes,170041.95,Retained,Adult,Very Good,High balance
15700772,Nebechi,571,France,Male,44,9,0,2,No,No,38433.35,Retained,Adult,Poor,Zero Balance
15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,Yes,Yes,100187.43,Retained,Adult,Poor,High balance
15656300,Lucciano,411,France,Male,29,0,59697.17,2,Yes,Yes,53483.21,Retained,Young Adult,Poor,Medium Balance
15589475,Azikiwe,591,Spain,Female,39,3,0,3,Yes,No,140469.38,Exited,Adult,Fair,Zero Balance
15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,No,Yes,156731.91,Retained,Adult,Poor,Medium Balance
15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,No,No,81898.81,Retained,Adult,Poor,High balance
15659428,Maggard,520,Spain,Female,42,6,0,2,Yes,Yes,34410.55,Retained,Adult,Poor,Zero Balance
15732963,Clements,722,Spain,Female,29,9,0,2,Yes,Yes,142033.07,Retained,Young Adult,Good,Zero Balance
15794171,Lombardo,475,France,Female,45,0,134264.04,1,Yes,No,27822.99,Exited,Adult,Poor,High balance
15788448,Watson,490,Spain,Male,31,3,145260.23,1,No,Yes,114066.77,Retained,Adult,Poor,High balance
15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,No,Yes,98453.45,Retained,Adult,Excellent,Medium Balance
15717426,Armstrong,850,France,Male,36,7,0,1,Yes,Yes,40812.9,Retained,Adult,Excellent,Zero Balance
15585768,Cameron,582,Germany,Male,41,6,70349.48,2,No,Yes,178074.04,Retained,Adult,Fair,Medium Balance
15619360,Hsiao,472,Spain,Male,40,4,0,1,Yes,No,70154.22,Retained,Adult,Poor,Zero Balance
15738148,Clarke,465,France,Female,51,8,122522.32,1,No,No,181297.65,Exited,Middle-Aged,Poor,High balance
15687946,Osborne,556,France,Female,61,2,117419.35,1,Yes,Yes,94153.83,Retained,Senior,Poor,High balance
15755196,Lavine,834,France,Female,49,2,131394.56,1,No,No,194365.76,Exited,Middle-Aged,Excellent,High balance
15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,Yes,Yes,158338.39,Retained,Senior,Fair,High balance
15754849,Tyler,776,Germany,Female,32,4,109421.13,2,Yes,Yes,126517.46,Retained,Adult,Very Good,High balance
15602280,Martin,829,Germany,Female,27,9,112045.67,1,Yes,Yes,119708.21,Exited,Young Adult,Excellent,High balance
15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,Yes,Yes,117622.8,Exited,Adult,Fair,High balance
15766205,Yin,550,Germany,Male,38,2,103391.38,1,No,Yes,90878.13,Retained,Adult,Poor,High balance
15771873,Buccho,776,Germany,Female,37,2,103769.22,2,Yes,No,194099.12,Retained,Adult,Very Good,High balance
15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,Yes,No,198059.16,Retained,Adult,Good,High balance
15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,No,No,86424.57,Retained,Adult,Fair,High balance
15683553,O'Brien,788,France,Female,33,5,0,2,No,No,116978.19,Retained,Adult,Very Good,Zero Balance
15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,No,No,164040.94,Exited,Adult,Fair,High balance
15569590,Yoo,601,Germany,Male,42,1,98495.72,1,Yes,No,40014.76,Exited,Adult,Fair,Medium Balance
15760861,Phillipps,619,France,Male,43,1,125211.92,1,Yes,Yes,113410.49,Retained,Adult,Fair,High balance
15630053,Tsao,656,France,Male,45,5,127864.4,1,Yes,No,87107.57,Retained,Adult,Fair,High balance
15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,No,No,45613.75,Retained,Young Adult,Good,Medium Balance
15623944,T'ien,511,Spain,Female,66,4,0,1,Yes,No,1643.11,Exited,Senior,Poor,Zero Balance
15804771,Velazquez,614,France,Male,51,4,40685.92,1,Yes,Yes,46775.28,Retained,Middle-Aged,Fair,Low Balance
15651280,Hunter,742,Germany,Male,35,5,136857,1,No,No,84509.57,Retained,Adult,Very Good,High balance
15773469,Clark,687,Germany,Female,27,9,152328.88,2,No,No,126494.82,Retained,Young Adult,Good,High balance
15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,No,No,178798.13,Retained,Adult,Poor,Medium Balance
15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,Yes,Yes,99398.36,Retained,Middle-Aged,Good,Medium Balance
15592461,Jackson,603,Germany,Male,26,4,109166.37,1,Yes,Yes,92840.67,Retained,Young Adult,Fair,High balance
15789484,Hammond,751,Germany,Female,36,6,169831.46,2,Yes,Yes,27758.36,Retained,Adult,Very Good,High balance
15696061,Brownless,581,Germany,Female,34,1,101633.04,1,Yes,No,110431.51,Retained,Adult,Fair,High balance
15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,Yes,Yes,196673.28,Retained,Adult,Good,High balance
15638424,Glauert,661,Germany,Female,35,5,150725.53,2,No,Yes,113656.85,Retained,Adult,Fair,High balance
15755648,Pisano,675,France,Female,21,8,98373.26,1,Yes,No,18203,Retained,Young Adult,Good,Medium Balance
15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,Yes,No,28373.86,Exited,Middle-Aged,Good,High balance
15620344,McKee,813,France,Male,29,6,0,1,Yes,No,33953.87,Retained,Young Adult,Excellent,Zero Balance
15812518,Palermo,657,Spain,Female,37,0,163607.18,1,No,Yes,44203.55,Retained,Adult,Fair,High balance
15779052,Ballard,604,Germany,Female,25,5,157780.84,2,Yes,Yes,58426.81,Retained,Young Adult,Fair,High balance
15770811,Wallace,519,France,Male,36,9,0,2,No,Yes,145562.4,Retained,Adult,Poor,Zero Balance
15780961,Cavenagh,735,France,Female,21,1,178718.19,2,Yes,No,22388,Retained,Young Adult,Good,High balance
15614049,Hu,664,France,Male,55,8,0,2,Yes,Yes,139161.64,Retained,Middle-Aged,Fair,Zero Balance
15662085,Read,678,France,Female,32,9,0,1,Yes,Yes,148210.64,Retained,Adult,Good,Zero Balance
15575185,Bushell,757,Spain,Male,33,5,77253.22,1,No,Yes,194239.63,Retained,Adult,Very Good,Medium Balance
15803136,Postle,416,Germany,Female,41,10,122189.66,2,Yes,No,98301.61,Retained,Adult,Poor,High balance
15706021,Buley,665,France,Female,34,1,96645.54,2,No,No,171413.66,Retained,Adult,Fair,Medium Balance
15663706,Leonard,777,France,Female,32,2,0,1,Yes,No,136458.19,Exited,Adult,Very Good,Zero Balance
15641732,Mills,543,France,Female,36,3,0,2,No,No,26019.59,Retained,Adult,Poor,Zero Balance
15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,Yes,Yes,159235.29,Retained,Adult,Poor,Medium Balance
15738751,Beit,493,France,Female,46,4,0,2,Yes,No,1907.66,Retained,Middle-Aged,Poor,Zero Balance
15805254,Ndukaku,652,Spain,Female,75,10,0,2,Yes,Yes,114675.75,Retained,Senior,Fair,Zero Balance
15762418,Gant,750,Spain,Male,22,3,121681.82,1,Yes,No,128643.35,Exited,Young Adult,Very Good,High balance
15625759,Rowley,729,France,Male,30,9,0,2,Yes,No,151869.35,Retained,Young Adult,Good,Zero Balance
15622897,Sharpe,646,France,Female,46,4,0,3,Yes,No,93251.42,Exited,Middle-Aged,Fair,Zero Balance
15767954,Osborne,635,Germany,Female,28,3,81623.67,2,Yes,Yes,156791.36,Retained,Young Adult,Fair,Medium Balance
15757535,Heap,647,Spain,Female,44,5,0,3,Yes,Yes,174205.22,Exited,Adult,Fair,Zero Balance
15731511,Ritchie,808,France,Male,45,7,118626.55,2,Yes,No,147132.46,Retained,Adult,Excellent,High balance
15809248,Cole,524,France,Female,36,10,0,2,Yes,No,109614.57,Retained,Adult,Poor,Zero Balance
15640635,Capon,769,France,Male,29,8,0,2,Yes,Yes,172290.61,Retained,Young Adult,Very Good,Zero Balance
15676966,Capon,730,Spain,Male,42,4,0,2,No,Yes,85982.47,Retained,Adult,Good,Zero Balance
15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,No,Yes,121277.78,Retained,Adult,Poor,High balance
15738721,Graham,773,Spain,Male,41,9,102827.44,1,No,Yes,64595.25,Retained,Adult,Very Good,High balance
15693683,Yuille,814,Germany,Male,29,8,97086.4,2,Yes,Yes,197276.13,Retained,Young Adult,Excellent,Medium Balance
15604348,Allard,710,Spain,Male,22,8,0,2,No,No,99645.04,Retained,Young Adult,Good,Zero Balance
15633059,Fanucci,413,France,Male,34,9,0,2,No,No,6534.18,Retained,Adult,Poor,Zero Balance
15808582,Fu,665,France,Female,40,6,0,1,Yes,Yes,161848.03,Retained,Adult,Fair,Zero Balance
15743192,Hung,623,France,Female,44,6,0,2,No,No,167162.43,Retained,Adult,Fair,Zero Balance
15580146,Hung,738,France,Male,31,9,82674.15,1,Yes,No,41970.72,Retained,Adult,Good,Medium Balance
15776605,Bradley,528,Spain,Male,36,7,0,2,Yes,No,60536.56,Retained,Adult,Poor,Zero Balance
15804919,Dunbabin,670,Spain,Female,65,1,0,1,Yes,Yes,177655.68,Exited,Senior,Good,Zero Balance
15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,Yes,Yes,30984.59,Exited,Middle-Aged,Fair,High balance
15599195,Stiger,582,Germany,Male,32,1,88938.62,1,Yes,Yes,10054.53,Retained,Adult,Fair,Medium Balance
15812878,Parsons,785,Germany,Female,36,2,99806.85,1,No,Yes,36976.52,Retained,Adult,Very Good,Medium Balance
15602312,Walkom,605,Spain,Male,33,5,150092.8,1,No,No,71862.79,Retained,Adult,Fair,High balance
15744689,T'ang,479,Germany,Male,35,9,92833.89,1,Yes,No,99449.86,Exited,Adult,Poor,Medium Balance
15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,No,Yes,63082.88,Retained,Young Adult,Good,Medium Balance
15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,Yes,No,27231.26,Retained,Adult,Poor,High balance
15715951,Thorpe,562,France,Male,42,2,100238.35,1,No,No,86797.41,Retained,Adult,Poor,High balance
15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,No,Yes,22994.32,Retained,Adult,Good,High balance
15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,No,Yes,101300.94,Exited,Young Adult,Good,High balance
15675522,Ko,628,Germany,Female,30,9,132351.29,2,Yes,Yes,74169.13,Retained,Young Adult,Fair,High balance
15705512,Welch,668,Germany,Female,37,6,167864.4,1,Yes,No,115638.29,Retained,Adult,Fair,High balance
15698028,Duncan,506,France,Female,41,1,0,2,Yes,No,31766.3,Retained,Adult,Poor,Zero Balance
15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,Yes,No,199725.39,Exited,Adult,Poor,High balance
15600781,Wu,699,Germany,Male,34,4,185173.81,2,Yes,No,120834.48,Retained,Adult,Good,High balance
15682472,Culbreth,828,France,Male,34,8,129433.34,2,No,No,38131.77,Retained,Adult,Excellent,High balance
15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,No,No,100130.95,Retained,Adult,Good,High balance
15690673,Cameron,656,France,Female,39,6,0,2,Yes,No,141069.88,Retained,Adult,Fair,Zero Balance
15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,Yes,Yes,198129.36,Retained,Middle-Aged,Good,High balance
15779659,Zetticci,625,France,Female,28,3,0,1,No,No,183646.41,Retained,Young Adult,Fair,Zero Balance
15627360,Fuller,432,France,Male,42,9,152603.45,1,Yes,No,110265.24,Exited,Adult,Poor,High balance
15671137,MacDonald,549,France,Female,52,1,0,1,No,Yes,8636.05,Exited,Middle-Aged,Poor,Zero Balance
15782688,Piccio,625,Germany,Male,56,0,148507.24,1,Yes,No,46824.08,Exited,Middle-Aged,Fair,High balance
15575492,Kennedy,828,France,Female,41,7,0,2,Yes,No,171378.77,Retained,Adult,Excellent,Zero Balance
15591607,Fernie,770,France,Male,24,9,101827.07,1,Yes,No,167256.35,Retained,Young Adult,Very Good,High balance
15740404,He,758,France,Female,34,3,0,2,Yes,Yes,124226.16,Retained,Adult,Very Good,Zero Balance
15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,Yes,Yes,114935.21,Retained,Adult,Very Good,High balance
15677871,Cocci,687,France,Male,38,9,122570.87,1,Yes,Yes,35608.88,Retained,Adult,Good,High balance
15642004,Alekseeva,686,France,Male,25,1,0,2,No,Yes,16459.37,Retained,Young Adult,Good,Zero Balance
15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,Yes,Yes,124411.08,Retained,Adult,Very Good,High balance
15584518,Arthur,589,Germany,Female,50,5,144895.05,2,Yes,Yes,34941.23,Retained,Middle-Aged,Fair,High balance
15802381,Li,461,Germany,Female,34,5,63663.93,1,No,Yes,167784.28,Retained,Adult,Poor,Medium Balance
15610156,Ma,637,France,Male,40,2,133463.1,1,No,Yes,93165.34,Retained,Adult,Fair,High balance
15594408,Chia,584,Spain,Female,48,2,213146.2,1,Yes,No,75161.25,Exited,Middle-Aged,Fair,High balance
15640905,Vasin,579,Spain,Female,35,1,129490.36,2,No,Yes,8590.83,Exited,Adult,Poor,High balance
15698932,Groves,756,Germany,Male,44,10,137452.09,1,Yes,No,189543.9,Retained,Adult,Very Good,High balance
15724944,Tien,663,France,Male,34,7,0,2,Yes,Yes,180427.24,Retained,Adult,Fair,Zero Balance
15628145,Forwood,682,France,Female,43,5,125851.93,1,Yes,Yes,193318.33,Retained,Adult,Good,High balance
15713483,Greeves,793,Spain,Male,52,2,0,1,Yes,No,159123.82,Exited,Middle-Aged,Very Good,Zero Balance
15612350,Taylor,691,France,Female,31,5,40915.55,1,Yes,No,126213.84,Exited,Adult,Good,Low Balance
15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,Yes,Yes,54141.5,Retained,Young Adult,Poor,High balance
15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,Yes,No,141075.51,Retained,Young Adult,Fair,High balance
15754105,Olisanugo,650,France,Male,37,5,106967.18,1,No,No,24495.03,Retained,Adult,Fair,High balance
15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,Yes,No,74836.34,Retained,Adult,Good,High balance
15794413,Harris,416,France,Male,32,0,0,2,No,Yes,878.87,Retained,Adult,Poor,Zero Balance
15650237,Morgan,754,Spain,Female,32,7,0,2,Yes,No,89520.75,Retained,Adult,Very Good,Zero Balance
15759618,Alexeeva,535,France,Female,48,9,0,1,Yes,No,149892.79,Exited,Middle-Aged,Poor,Zero Balance
15811589,Metcalfe,716,Spain,Male,42,8,0,2,Yes,No,180800.42,Retained,Adult,Good,Zero Balance
15689044,Humphries,539,France,Male,37,2,127609.59,1,Yes,No,98646.22,Retained,Adult,Poor,High balance
15709368,Milne,614,France,Female,43,6,0,2,Yes,Yes,109041.53,Retained,Adult,Fair,Zero Balance
15679145,Chou,706,Spain,Male,57,7,0,1,Yes,No,17941.16,Exited,Middle-Aged,Good,Zero Balance
15655007,Li,758,France,Female,33,7,0,2,No,No,82996.47,Retained,Adult,Very Good,Zero Balance
15623595,Clayton,586,Spain,Female,28,2,0,2,Yes,Yes,92067.35,Retained,Young Adult,Fair,Zero Balance
15589975,Maclean,646,France,Female,73,6,97259.25,1,No,Yes,104719.66,Retained,Senior,Fair,Medium Balance
15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,No,No,112687.57,Retained,Adult,Fair,High balance
15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,No,Yes,84699.56,Retained,Young Adult,Good,High balance
15641122,Wei,684,France,Male,30,2,0,2,Yes,No,83473.82,Retained,Young Adult,Good,Zero Balance
15630910,Treacy,800,France,Female,49,7,108007.36,1,No,No,47125.11,Retained,Middle-Aged,Excellent,High balance
15680772,Hu,721,Spain,Female,36,2,0,2,Yes,Yes,106977.8,Retained,Adult,Good,Zero Balance
15658929,Taverner,683,Spain,Male,29,0,133702.89,1,Yes,No,55582.54,Exited,Young Adult,Good,High balance
15585388,Sherman,660,Germany,Male,31,9,125189.75,2,Yes,Yes,139874.43,Retained,Adult,Fair,High balance
15724623,Taubman,704,Germany,Female,24,7,113034.22,1,Yes,No,162503.48,Exited,Young Adult,Good,High balance
15588537,Robinson,615,Spain,Female,41,9,109013.23,1,Yes,No,196499.96,Retained,Adult,Fair,High balance
15574692,Pinto,667,Spain,Female,39,2,0,2,Yes,No,40721.24,Exited,Adult,Fair,Zero Balance
15611325,Wood,682,Germany,Male,24,9,57929.81,2,No,No,53134.3,Retained,Young Adult,Good,Medium Balance
15587562,Hawkins,484,France,Female,29,4,130114.39,1,Yes,No,164017.89,Retained,Young Adult,Poor,High balance
15613172,Sun,628,Germany,Male,27,5,95826.49,2,Yes,No,155996.96,Retained,Young Adult,Fair,Medium Balance
15651022,Yost,480,Germany,Male,44,10,129608.57,1,Yes,No,5472.7,Exited,Adult,Poor,High balance
15586310,Ting,578,France,Male,30,4,169462.09,1,Yes,No,112187.11,Retained,Young Adult,Poor,High balance
15625524,Rowe,512,France,Male,40,5,0,2,Yes,Yes,146457.83,Retained,Adult,Poor,Zero Balance
15755209,Fu,484,Spain,Female,35,7,133868.21,1,Yes,Yes,27286.1,Retained,Adult,Poor,High balance
15645248,Ho,510,France,Female,30,0,0,2,Yes,Yes,130553.47,Retained,Young Adult,Poor,Zero Balance
15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,No,No,179351.89,Retained,Adult,Fair,High balance
15762615,Campbell,597,Spain,Female,40,8,101993.12,1,No,Yes,94774.12,Retained,Adult,Fair,High balance
15625426,Ashbolt,754,Germany,Female,55,3,161608.81,1,Yes,No,8080.85,Exited,Middle-Aged,Very Good,High balance
15716334,Rozier,850,Spain,Female,45,2,122311.21,1,Yes,Yes,19482.5,Retained,Adult,Excellent,High balance
15789669,Hsia,510,France,Male,65,2,0,2,Yes,Yes,48071.61,Retained,Senior,Poor,Zero Balance
15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,Yes,No,174531.27,Retained,Adult,Very Good,High balance
15810845,T'ang,636,France,Male,42,2,0,2,Yes,Yes,55470.78,Retained,Adult,Fair,Zero Balance
15719377,Cocci,804,France,Female,50,4,0,1,Yes,Yes,8546.87,Exited,Middle-Aged,Excellent,Zero Balance
15654506,Chang,514,France,Male,32,8,0,2,Yes,No,95857.18,Retained,Adult,Poor,Zero Balance
15771977,T'ao,730,France,Female,39,1,99010.67,1,Yes,No,194945.8,Retained,Adult,Good,Medium Balance
15708710,Ford,525,Spain,Female,37,0,0,1,No,Yes,131521.72,Retained,Adult,Poor,Zero Balance
15726676,Marshall,616,Spain,Male,30,5,0,2,No,Yes,196108.51,Retained,Young Adult,Fair,Zero Balance
15587421,Tsai,687,Germany,Female,34,7,111388.18,2,Yes,No,148564.76,Retained,Adult,Good,High balance
15726931,Onwumelu,715,France,Female,41,8,56214.85,2,No,No,92982.61,Exited,Adult,Good,Medium Balance
15771086,Graham,512,France,Female,36,3,84327.77,2,Yes,No,17675.36,Retained,Adult,Poor,Medium Balance
15756850,Golovanov,479,France,Male,40,1,0,2,No,No,114996.43,Retained,Adult,Poor,Zero Balance
15702741,Potts,601,France,Male,32,8,93012.89,1,Yes,No,86957.42,Retained,Adult,Fair,Medium Balance
15679200,Crawford,580,Spain,Male,29,9,61710.44,2,Yes,No,128077.8,Retained,Young Adult,Fair,Medium Balance
15594815,Aleshire,807,France,Male,35,3,174790.15,1,Yes,Yes,600.36,Retained,Adult,Excellent,High balance
15635905,Moran,616,Spain,Female,32,6,0,2,Yes,Yes,43001.46,Retained,Adult,Fair,Zero Balance
15777892,Samsonova,721,Germany,Male,37,3,107720.64,1,Yes,Yes,158591.12,Retained,Adult,Good,High balance
15656176,Jenkins,501,France,Male,57,10,0,2,Yes,Yes,47847.19,Retained,Middle-Aged,Poor,Zero Balance
15811127,Volkov,521,France,Male,35,6,96423.84,1,Yes,No,10488.44,Retained,Adult,Poor,Medium Balance
15604482,Chiemezie,850,Spain,Male,30,2,141040.01,1,Yes,Yes,5978.2,Retained,Young Adult,Excellent,High balance
15622911,Jude,759,France,Male,42,4,105420.18,1,No,Yes,121409.06,Retained,Adult,Very Good,High balance
15600974,He,516,Spain,Male,50,5,0,1,No,Yes,146145.93,Exited,Middle-Aged,Poor,Zero Balance
15727868,Onuora,711,France,Female,38,2,129022.06,2,Yes,Yes,14374.86,Exited,Adult,Good,High balance
15627801,Ginikanwa,512,Spain,Male,33,3,176666.62,1,Yes,No,94670.77,Retained,Adult,Poor,High balance
15773039,Ku,550,France,Male,37,3,0,1,Yes,Yes,179670.31,Retained,Adult,Poor,Zero Balance
15755262,McDonald,608,Spain,Female,41,3,89763.84,1,No,No,199304.74,Exited,Adult,Fair,Medium Balance
15679531,Collins,618,France,Male,34,5,134954.53,1,Yes,Yes,151954.39,Retained,Adult,Fair,High balance
15684181,Hackett,643,France,Male,45,5,0,1,Yes,No,142513.5,Exited,Adult,Fair,Zero Balance
15612087,Dike,671,France,Male,45,2,106376.85,1,No,Yes,158264.62,Retained,Adult,Good,High balance
15752047,Trevisano,689,Germany,Male,33,2,161814.64,2,Yes,No,169381.9,Retained,Adult,Good,High balance
15624592,Tan,603,France,Male,31,8,0,2,Yes,Yes,169915.02,Retained,Adult,Fair,Zero Balance
15573152,Glassman,620,France,Female,41,9,0,2,No,No,88852.47,Retained,Adult,Fair,Zero Balance
15594917,Miller,676,France,Female,34,1,63095.01,1,Yes,Yes,40645.81,Retained,Adult,Good,Medium Balance
15785542,Kornilova,572,Germany,Male,26,4,118287.01,2,No,No,60427.3,Retained,Young Adult,Poor,High balance
15723488,Watson,668,Germany,Male,47,7,106854.21,1,No,Yes,157959.02,Exited,Middle-Aged,Fair,High balance
15680920,Marchesi,695,France,Male,46,7,49512.55,1,Yes,No,133007.34,Retained,Middle-Aged,Good,Low Balance
15786308,Millar,730,Spain,Female,33,9,0,2,No,No,176576.62,Retained,Adult,Good,Zero Balance
15659366,Shih,807,France,Male,43,1,105799.32,2,Yes,No,34888.04,Exited,Adult,Excellent,High balance
15774854,Fuller,592,France,Male,54,8,0,1,Yes,Yes,28737.71,Exited,Middle-Aged,Fair,Zero Balance
